"log_id";"user";"trial";"new_answer";"new_certitude";"cant_answer";"isImprecis";"aHistory";"cHistory"
"215";"516960508";"3";"""Beagle""";"4";"0";"1";"""[""Beagle""]""";"""[""4""]"""
"222";"516960508";"4";"[""Epagneul Breton"",""Basset""]";"4";"0";"1";"""[""Basset"",""Epagneul Breton""]""";"""[""4""]"""
"229";"516960508";"5";"""Epagneul Breton""";"4";"0";"1";"""[""Epagneul Breton""]""";"""[""4""]"""
"236";"516960508";"7";"""Beagle""";"4";"0";"1";"""[""Beagle""]""";"""[""4""]"""
"287";"517361440";"0";"""Beagle""";"3";"0";"1";"""[""Beagle""]""";"""[""3""]"""
"288";"517361440";"1";"""Epagneul Breton""";"3";"0";"1";"""[""Epagneul Breton""]""";"""[""3""]"""
"289";"517361440";"2";"""Basset""";"5";"0";"1";"""[""Basset""]""";"""[""5""]"""
"290";"517361440";"3";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"291";"517361440";"4";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"292";"517361440";"5";"""Epagneul Breton""";"7";"0";"1";"""[""Epagneul Breton""]""";"""[""7""]"""
"293";"517361440";"6";"""Basset""";"5";"0";"1";"""[""Basset""]""";"""[""5""]"""
"294";"517361440";"7";"""Beagle""";"6";"0";"1";"""[""Beagle""]""";"""[""6""]"""
"145";"566197037";"0";"""Beagle""";"3";"0";"1";"""[""Beagle""]""";"""[""3""]"""
"149";"566197037";"1";"";NULL;"1";"0";"";""
"151";"566197037";"2";"";NULL;"1";"0";"";""
"158";"566197037";"3";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3""]"""
"163";"566197037";"4";"";NULL;"1";"0";"";""
"167";"566197037";"5";"";NULL;"1";"0";"";""
"174";"566197037";"6";"[""Basset"",""Beagle""]";"5";"0";"1";"""[""Basset"",""Beagle""]""";"""[""5""]"""
"179";"566197037";"7";"";NULL;"1";"1";"";""
"155";"576775126";"0";"[""Foxhound"",""Beagle""]";"5";"0";"0";"""[""Epagneul Breton"",""Epagneul Breton"",""Basset"",""Foxhound""]""";"""[""5"",""5"",""6"",""6"",""7"",""7"",""7"",""5"",""5"",""5"",""5"",""5"",""5"",""6"",""7"",""7"",""7"",""5"",""5"",""6"",""7"",""7"",""4"",""4"",""5"",""5""]"""
"160";"576775126";"1";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"166";"576775126";"3";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"172";"576775126";"7";"[""Epagneul Breton"",""Foxhound""]";"6";"0";"0";"""[""Epagneul Breton"",""Epagneul Breton""]""";"""[""5"",""6"",""6""]"""
"264";"582146047";"0";"""Epagneul Breton""";"4";"0";"1";"""[""Epagneul Breton""]""";"""[""4""]"""
"265";"582146047";"1";"""Epagneul Breton""";"4";"0";"1";"""[""Epagneul Breton""]""";"""[""4""]"""
"266";"582146047";"2";"[""Basset"",""Epagneul Breton""]";"5";"0";"0";"""[""Epagneul Breton""]""";"""[""5""]"""
"267";"582146047";"3";"""Foxhound""";"4";"0";"1";"""[""Foxhound""]""";"""[""4""]"""
"268";"582146047";"4";"""Beagle""";"3";"0";"1";"""[""Beagle""]""";"""[""4"",""3""]"""
"269";"582146047";"5";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"270";"582146047";"6";"""Basset""";"5";"0";"1";"""[""Basset""]""";"""[""5""]"""
"271";"582146047";"7";"""Epagneul Breton""";"6";"0";"1";"""[""Epagneul Breton""]""";"""[""6""]"""
"82";"634056816";"0";"";NULL;"1";"0";"";""
"88";"634056816";"2";"";NULL;"1";"0";"";""
"90";"634056816";"3";"";NULL;"1";"0";"";""
"94";"634056816";"7";"";NULL;"1";"0";"";""
"5";"637932881";"1";"[""Foxhound"",""Epagneul Breton""]";"6";"0";"0";"""[""Foxhound"",""Foxhound""]""";"""[""7"",""7"",""7"",""6""]"""
"11";"637932881";"3";"""Foxhound""";"6";"0";"1";"""[""Foxhound""]""";"""[""6""]"""
"26";"637932881";"5";"[""Foxhound"",""Epagneul Breton""]";"6";"0";"0";"""[""Epagneul Breton""]""";"""[""6""]"""
"64";"637932881";"7";"";NULL;"1";"1";"";""
"10";"709778383";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"14";"709778383";"1";"""Epagneul Breton""";"7";"0";"1";"""[""Epagneul Breton""]""";"""[""7""]"""
"18";"709778383";"2";"""Basset""";"7";"0";"1";"""[""Basset""]""";"""[""7""]"""
"23";"709778383";"3";"""Foxhound""";"7";"0";"1";"""[""Foxhound""]""";"""[""7""]"""
"28";"709778383";"4";"""Beagle""";"7";"0";"1";"""[""Beagle""]""";"""[""7""]"""
"33";"709778383";"5";"""Epagneul Breton""";"7";"0";"1";"""[""Epagneul Breton""]""";"""[""7""]"""
"36";"709778383";"6";"""Basset""";"7";"0";"1";"""[""Basset""]""";"""[""7""]"""
"41";"709778383";"7";"""Foxhound""";"7";"0";"1";"""[""Foxhound""]""";"""[""7""]"""
"130";"724339378";"0";"[""Basset"",""Beagle""]";"5";"0";"0";"""[""Basset"",""Basset""]""";"""[""5"",""6"",""5"",""5"",""4"",""5"",""5""]"""
"136";"724339378";"1";"[""Foxhound"",""Epagneul Breton""]";"6";"0";"0";"""[""Foxhound""]""";"""[""6""]"""
"141";"724339378";"3";"""Epagneul Breton""";"5";"0";"1";"""[""Foxhound"",""Epagneul Breton""]""";"""[""5""]"""
"143";"724339378";"4";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"144";"724339378";"5";"[""Foxhound"",""Epagneul Breton""]";"5";"0";"0";"""[""Foxhound""]""";"""[""5""]"""
"146";"724339378";"6";"[""Basset"",""Beagle""]";"6";"0";"0";"""[""Beagle""]""";"""[""6""]"""
"148";"724339378";"7";"[""Foxhound"",""Epagneul Breton""]";"6";"0";"0";"""[""Epagneul Breton""]""";"""[""6""]"""
"279";"836993022";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"280";"836993022";"1";"[""Foxhound"",""Epagneul Breton""]";"5";"0";"0";"""[""Foxhound"",""Foxhound"",""Foxhound""]""";"""[""5"",""7"",""6"",""5"",""6"",""5"",""6"",""5"",""4"",""5""]"""
"281";"836993022";"2";"[""Foxhound"",""Basset""]";"4";"0";"1";"""[""Basset"",""Foxhound""]""";"""[""4""]"""
"282";"836993022";"3";"[""Foxhound"",""Epagneul Breton""]";"4";"0";"1";"""[""Foxhound"",""Epagneul Breton""]""";"""[""4""]"""
"283";"836993022";"4";"""Epagneul Breton""";"4";"0";"1";"""[""Epagneul Breton""]""";"""[""4""]"""
"284";"836993022";"5";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"285";"836993022";"6";"";NULL;"1";"0";"";""
"286";"836993022";"7";"[""Foxhound"",""Epagneul Breton""]";"5";"0";"1";"""[""Epagneul Breton"",""Foxhound""]""";"""[""5"",""5""]"""
"99";"894428027";"2";"""Basset""";"4";"0";"1";"""[""Basset""]""";"""[""4""]"""
"104";"894428027";"3";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"110";"894428027";"4";"";NULL;"1";"0";"";""
"117";"894428027";"5";"";NULL;"1";"1";"";""
"124";"894428027";"6";"";NULL;"1";"0";"";""
"21";"955169013";"0";"";NULL;"1";"1";"";""
"24";"955169013";"1";"";NULL;"1";"1";"";""
"37";"955169013";"2";"";NULL;"1";"0";"";""
"44";"955169013";"3";"""Foxhound""";"4";"0";"1";"""[""Foxhound""]""";"""[""4""]"""
"53";"955169013";"4";"";NULL;"1";"0";"";""
"55";"955169013";"5";"";NULL;"1";"0";"";""
"60";"955169013";"6";"[""Basset"",""Beagle""]";"5";"0";"0";"""[""Beagle""]""";"""[""5""]"""
"63";"955169013";"7";"";NULL;"1";"0";"";""
"137";"963668589";"0";"";NULL;"1";"0";"";""
"139";"963668589";"1";"";NULL;"1";"0";"";""
"142";"963668589";"2";"";NULL;"1";"0";"";""
"97";"1230588147";"0";"";NULL;"1";"1";"";""
"98";"1230588147";"1";"[""Foxhound"",""Basset"",""Beagle""]";"5";"0";"1";"""[""Foxhound"",""Basset"",""Beagle""]""";"""[""5""]"""
"100";"1230588147";"2";"";NULL;"1";"1";"";""
"105";"1230588147";"3";"[""Foxhound"",""Basset"",""Beagle""]";"6";"0";"1";"""[""Foxhound"",""Basset"",""Beagle""]""";"""[""6""]"""
"114";"1230588147";"4";"";NULL;"1";"1";"";""
"118";"1230588147";"5";"[""Epagneul Breton"",""Beagle""]";"5";"0";"0";"""[""Beagle""]""";"""[""5""]"""
"121";"1230588147";"6";"[""Foxhound"",""Epagneul Breton""]";"5";"0";"1";"""[""Epagneul Breton"",""Foxhound""]""";"""[""5""]"""
"126";"1230588147";"7";"";NULL;"1";"1";"";""
"52";"1256197274";"0";"";NULL;"1";"1";"";""
"57";"1256197274";"1";"";NULL;"1";"0";"";""
"62";"1256197274";"2";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3""]"""
"66";"1256197274";"3";"";NULL;"1";"0";"";""
"69";"1256197274";"4";"";NULL;"1";"1";"";""
"71";"1256197274";"5";"";NULL;"1";"1";"";""
"73";"1256197274";"6";"";NULL;"1";"1";"";""
"76";"1256197274";"7";"";NULL;"1";"1";"";""
"219";"1320251873";"0";"[""Beagle"",""Foxhound""]";"4";"0";"1";"""[""Beagle"",""Foxhound""]""";"""[""4""]"""
"220";"1320251873";"1";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"226";"1320251873";"3";"[""Beagle"",""Foxhound""]";"6";"0";"1";"""[""Foxhound"",""Beagle""]""";"""[""6""]"""
"228";"1320251873";"4";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3""]"""
"230";"1320251873";"5";"[""Beagle"",""Foxhound""]";"5";"0";"1";"""[""Foxhound"",""Beagle""]""";"""[""5""]"""
"232";"1320251873";"7";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"129";"1330875678";"0";"""Beagle""";"4";"0";"1";"""[""Beagle"",""Beagle""]""";"""[""4""]"""
"132";"1330875678";"3";"""Epagneul Breton""";"3";"0";"1";"""[""Epagneul Breton""]""";"""[""3""]"""
"134";"1330875678";"4";"""Beagle""";"3";"0";"1";"""[""Beagle""]""";"""[""3""]"""
"135";"1330875678";"5";"";NULL;"1";"0";"";""
"194";"1333866811";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"199";"1333866811";"1";"[""Epagneul Breton"",""Beagle""]";"6";"0";"0";"""[""Beagle""]""";"""[""6"",""7"",""6""]"""
"204";"1333866811";"2";"""Basset""";"6";"0";"1";"""[""Basset""]""";"""[""6""]"""
"208";"1333866811";"3";"""Foxhound""";"4";"0";"1";"""[""Foxhound""]""";"""[""4""]"""
"214";"1333866811";"4";"""Beagle""";"4";"0";"1";"""[""Beagle""]""";"""[""4""]"""
"217";"1333866811";"5";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"223";"1333866811";"6";"[""Epagneul Breton"",""Basset""]";"4";"0";"1";"""[""Epagneul Breton"",""Basset""]""";"""[""4""]"""
"224";"1333866811";"7";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3""]"""
"1";"1347179295";"0";"""Basset""";"3";"0";"1";"""[""Basset""]""";"""[""3""]"""
"2";"1347179295";"2";"""Beagle""";"3";"0";"1";"""[""Beagle""]""";"""[""3""]"""
"4";"1347179295";"3";"";NULL;"1";"1";"";""
"6";"1347179295";"4";"";NULL;"1";"0";"";""
"9";"1347179295";"5";"";NULL;"1";"0";"";""
"16";"1347179295";"6";"";NULL;"1";"1";"";""
"17";"1347179295";"7";"";NULL;"1";"0";"";""
"83";"1458874714";"4";"""Beagle""";"6";"0";"1";"""[""Beagle""]""";"""[""6""]"""
"84";"1458874714";"5";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"140";"1498868362";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"147";"1498868362";"1";"""Epagneul Breton""";"4";"0";"1";"""[""Epagneul Breton""]""";"""[""4""]"""
"156";"1498868362";"2";"[""Foxhound"",""Basset""]";"5";"0";"1";"""[""Basset"",""Foxhound""]""";"""[""5""]"""
"164";"1498868362";"3";"[""Beagle"",""Foxhound""]";"5";"0";"1";"""[""Beagle"",""Foxhound""]""";"""[""5""]"""
"181";"1498868362";"4";"[""Foxhound"",""Basset""]";"4";"0";"1";"""[""Foxhound"",""Basset""]""";"""[""4""]"""
"185";"1498868362";"5";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"187";"1498868362";"6";"""Beagle""";"6";"0";"1";"""[""Beagle""]""";"""[""6""]"""
"191";"1498868362";"7";"[""Beagle"",""Foxhound""]";"5";"0";"1";"""[""Beagle"",""Foxhound""]""";"""[""5""]"""
"96";"1634046242";"0";"";NULL;"1";"0";"";""
"108";"1634046242";"3";"""Beagle""";"6";"0";"1";"""[""Beagle""]""";"""[""6""]"""
"75";"1645147589";"0";"[""Basset"",""Beagle""]";"3";"0";"1";"""[""Basset"",""Beagle""]""";"""[""3""]"""
"80";"1645147589";"1";"";NULL;"1";"1";"";""
"81";"1645147589";"2";"";NULL;"1";"1";"";""
"86";"1645147589";"3";"";NULL;"1";"1";"";""
"87";"1645147589";"4";"";NULL;"1";"1";"";""
"89";"1645147589";"5";"";NULL;"1";"1";"";""
"91";"1645147589";"6";"";NULL;"1";"1";"";""
"92";"1645147589";"7";"";NULL;"1";"1";"";""
"171";"1692194150";"0";"""Foxhound""";"1";"0";"1";"""[""Foxhound""]""";"""[""1""]"""
"178";"1692194150";"1";"[""Epagneul Breton"",""Basset""]";"5";"0";"0";"""[""Epagneul Breton""]""";"""[""5""]"""
"183";"1692194150";"2";"[""Beagle"",""Basset""]";"3";"0";"0";"""[""Beagle""]""";"""[""3""]"""
"189";"1692194150";"4";"[""Epagneul Breton"",""Foxhound""]";"6";"0";"0";"""[""Epagneul Breton""]""";"""[""6""]"""
"227";"1762452470";"0";"[""Beagle"",""Epagneul Breton""]";"3";"0";"0";"""[""Epagneul Breton""]""";"""[""3""]"""
"231";"1762452470";"1";"";NULL;"1";"0";"";""
"237";"1762452470";"2";"";NULL;"1";"0";"";""
"239";"1762452470";"3";"";NULL;"1";"1";"";""
"31";"1883258790";"3";"";NULL;"1";"1";"";""
"40";"1883258790";"4";"""Beagle""";"6";"0";"1";"""[""Beagle""]""";"""[""6""]"""
"47";"1883258790";"5";"""Epagneul Breton""";"7";"0";"1";"""[""Epagneul Breton""]""";"""[""7""]"""
"252";"1883840430";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"256";"1883840430";"1";"""Epagneul Breton""";"6";"0";"1";"""[""Epagneul Breton""]""";"""[""6"",""5"",""6""]"""
"258";"1883840430";"2";"""Basset""";"5";"0";"1";"""[""Basset""]""";"""[""5""]"""
"259";"1883840430";"3";"""Beagle""";"4";"0";"1";"""[""Beagle""]""";"""[""4""]"""
"260";"1883840430";"4";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""6"",""5"",""6"",""5""]"""
"261";"1883840430";"5";"""Epagneul Breton""";"6";"0";"1";"""[""Epagneul Breton""]""";"""[""5"",""6""]"""
"262";"1883840430";"6";"";NULL;"1";"0";"";""
"263";"1883840430";"7";"""Foxhound""";"7";"0";"1";"""[""Foxhound""]""";"""[""7""]"""
"152";"1913797882";"0";"";NULL;"1";"0";"";""
"154";"1913797882";"1";"""Foxhound""";"2";"0";"1";"""[""Foxhound""]""";"""[""2""]"""
"157";"1913797882";"2";"";NULL;"1";"1";"";""
"159";"1913797882";"3";"";NULL;"1";"0";"";""
"162";"1913797882";"4";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"165";"1913797882";"5";"";NULL;"1";"0";"";""
"168";"1913797882";"6";"""Beagle""";"4";"0";"1";"""[""Beagle""]""";"""[""4""]"""
"170";"1913797882";"7";"";NULL;"1";"0";"";""
"103";"1946242969";"0";"""Beagle""";"7";"0";"1";"""[""Beagle"",""Beagle""]""";"""[""7"",""6"",""7""]"""
"113";"1946242969";"3";"""Beagle""";"6";"0";"1";"""[""Foxhound"",""Beagle""]""";"""[""7"",""6""]"""
"122";"1946242969";"7";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"184";"1982055773";"0";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"188";"1982055773";"1";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"190";"1982055773";"2";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"193";"1982055773";"3";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"196";"1982055773";"4";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"200";"1982055773";"5";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3""]"""
"203";"1982055773";"6";"""Basset""";"5";"0";"1";"""[""Basset""]""";"""[""5""]"""
"206";"1982055773";"7";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"30";"2034774144";"0";"";NULL;"1";"0";"";""
"34";"2034774144";"1";"";NULL;"1";"0";"";""
"39";"2034774144";"2";"";NULL;"1";"1";"";""
"46";"2034774144";"3";"";NULL;"1";"0";"";""
"48";"2034774144";"4";"";NULL;"1";"0";"";""
"56";"2034774144";"7";"";NULL;"1";"0";"";""
"175";"2035541483";"0";"";NULL;"1";"0";"";""
"177";"2035541483";"2";"";NULL;"1";"0";"";""
"198";"2035541483";"3";"";NULL;"1";"1";"";""
"202";"2035541483";"4";"";NULL;"1";"0";"";""
"209";"2035541483";"6";"";NULL;"1";"1";"";""
"213";"2035541483";"7";"";NULL;"1";"1";"";""
"195";"2035724402";"0";"";NULL;"1";"0";"";""
"197";"2035724402";"3";"";NULL;"1";"0";"";""
"201";"2035724402";"4";"";NULL;"1";"0";"";""
"205";"2035724402";"5";"";NULL;"1";"0";"";""
"211";"2035724402";"7";"";NULL;"1";"0";"";""
"150";"2041564106";"0";"";NULL;"1";"1";"";""
"153";"2041564106";"1";"";NULL;"1";"0";"";""
"161";"2041564106";"2";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"169";"2041564106";"3";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"173";"2041564106";"4";"";NULL;"1";"1";"";""
"176";"2041564106";"5";"";NULL;"1";"1";"";""
"180";"2041564106";"6";"";NULL;"1";"0";"";""
"182";"2041564106";"7";"";NULL;"1";"1";"";""
"8";"2110040742";"0";"[""Foxhound"",""Beagle""]";"2";"0";"1";"""[""Foxhound"",""Beagle""]""";"""[""2""]"""
"19";"2110040742";"1";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"27";"2110040742";"2";"""Basset""";"5";"0";"1";"""[""Basset""]""";"""[""5"",""3"",""5""]"""
"38";"2110040742";"3";"""Foxhound""";"1";"0";"1";"""[""Foxhound""]""";"""[""1""]"""
"54";"2110040742";"4";"""Epagneul Breton""";"3";"0";"1";"""[""Epagneul Breton""]""";"""[""3""]"""
"78";"2110040742";"5";"""Epagneul Breton""";"6";"0";"1";"""[""Epagneul Breton""]""";"""[""6""]"""
